Date/Time,Pressure
2017-11-11 09:11:00,46.16
2017-11-11 09:11:00,45.51
2017-11-11 09:11:00,44.94
2017-11-11 10:11:00,43.19
2017-11-11 10:11:00,42.75
2017-11-11 10:11:00,42.22
2017-11-11 10:11:00,41.24
2017-11-11 11:11:00,39.94
2017-11-11 11:11:00,38.89
2017-11-11 11:11:00,37.29
2017-11-11 11:11:00,36.88
2017-11-11 12:11:00,36.25
2017-11-11 12:11:00,35.72
2017-11-11 12:11:00,35.37
2017-11-11 12:11:00,34.75
2017-11-11 12:11:00,34
2017-11-11 12:11:00,33.78
2017-11-11 13:11:00,33.59
2017-11-11 13:11:00,32.57
2017-11-11 13:11:00,32.44
2017-11-11 13:11:00,32.11
2017-11-11 13:11:00,32.15
2017-11-11 14:11:00,32.09
2017-11-11 14:11:00,31.76
2017-11-11 14:11:00,31.82
2017-11-11 14:11:00,31.98
2017-11-11 14:11:00,32.1
2017-11-11 14:11:00,32.41
2017-11-11 15:11:00,32.56
2017-11-11 15:11:00,32.75
2017-11-11 15:11:00,33.35
2017-11-11 15:11:00,33.91
2017-11-11 15:11:00,34.28
2017-11-11 16:11:00,35.01
2017-11-11 16:11:00,35.63
2017-11-11 16:11:00,37.26
2017-11-11 16:11:00,37.96
2017-11-11 16:11:00,38.5
2017-11-11 16:11:00,39.49
2017-11-11 17:11:00,40.36
2017-11-11 17:11:00,40.97
2017-11-11 17:11:00,41.77
2017-11-11 17:11:00,42.65
2017-11-11 17:11:00,43.39
2017-11-11 17:11:00,44.03
2017-11-11 18:11:00,45.48
2017-11-11 18:11:00,46.18
2017-11-11 18:11:00,47.06
2017-11-11 18:11:00,47.48
2017-11-11 18:11:00,47.94
2017-11-11 19:11:00,48.7
2017-11-11 19:11:00,49.21
2017-11-11 19:11:00,49.41
2017-11-11 19:11:00,49.95
2017-11-11 19:11:00,50.47
2017-11-11 19:11:00,50.74
2017-11-11 20:11:00,51.06
2017-11-11 20:11:00,51.3
2017-11-11 20:11:00,51.81
2017-11-11 20:11:00,51.45
2017-11-11 21:11:00,51.35
2017-11-11 21:11:00,51.11
2017-11-11 21:11:00,51.08
2017-11-11 21:11:00,50.75
2017-11-11 21:11:00,50.09
2017-11-11 21:11:00,49.84
2017-11-11 22:11:00,48.96
2017-11-11 22:11:00,48.07
2017-11-11 22:11:00,47.62
2017-11-11 22:11:00,46.94
2017-11-11 22:11:00,46.34
2017-11-11 23:11:00,45.8
2017-11-11 23:11:00,44.95
2017-11-11 23:11:00,44.41
2017-11-11 23:11:00,43.77
2017-11-11 23:11:00,42.88
2017-11-11 23:11:00,42.27
2017-11-12 00:11:00,41.64
2017-11-12 00:11:00,40.63
2017-11-12 00:11:00,39.99
2017-11-12 00:11:00,39.49
2017-11-12 00:11:00,38.61
2017-11-12 00:11:00,38.12
2017-11-12 01:11:00,37.6
2017-11-12 01:11:00,37.02
2017-11-12 01:11:00,35.95
2017-11-12 01:11:00,35.58
2017-11-12 01:11:00,35.13
2017-11-12 02:11:00,34.7
2017-11-12 02:11:00,34.18
2017-11-12 02:11:00,34.04
2017-11-12 02:11:00,33.94
2017-11-12 02:11:00,33.43
2017-11-12 03:11:00,33.31
2017-11-12 03:11:00,33.47
2017-11-12 03:11:00,33.53
2017-11-12 03:11:00,33.54
2017-11-12 03:11:00,33.87
2017-11-12 03:11:00,34.29
2017-11-12 04:11:00,34.69
2017-11-12 04:11:00,35.45
2017-11-12 04:11:00,36.46
2017-11-12 04:11:00,37.09
2017-11-12 04:11:00,37.46
2017-11-12 05:11:00,38.95
2017-11-12 05:11:00,39.62
2017-11-12 05:11:00,40.8
2017-11-12 05:11:00,41.18
2017-11-12 05:11:00,41.73
2017-11-12 06:11:00,42.91
2017-11-12 06:11:00,43.6
2017-11-12 06:11:00,44.16
2017-11-12 06:11:00,44.91
2017-11-12 06:11:00,45.6
2017-11-12 06:11:00,46.32
2017-11-12 07:11:00,47.11
2017-11-12 07:11:00,48.25
2017-11-12 07:11:00,48.55
2017-11-12 07:11:00,49.29
2017-11-12 07:11:00,49.99
2017-11-12 08:11:00,50.44
2017-11-12 08:11:00,50.98
2017-11-12 08:11:00,51.57
2017-11-12 08:11:00,51.46
2017-11-12 09:11:00,51.95
2017-11-12 09:11:00,51.55
2017-11-12 09:11:00,51.68
2017-11-12 09:11:00,51.73
2017-11-12 09:11:00,51.23
2017-11-12 10:11:00,51.43
2017-11-12 10:11:00,50.41
2017-11-12 10:11:00,50.07
2017-11-12 10:11:00,48.9
2017-11-12 11:11:00,48.2
2017-11-12 11:11:00,47.46
2017-11-12 11:11:00,46.99
2017-11-12 11:11:00,44.9
2017-11-12 11:11:00,44.37
2017-11-12 12:11:00,43.16
2017-11-12 12:11:00,42.06
2017-11-12 12:11:00,40.52
2017-11-12 13:11:00,39.61
2017-11-12 13:11:00,38.61
2017-11-12 13:11:00,38.15
2017-11-12 13:11:00,37.3
2017-11-12 13:11:00,36.5
2017-11-12 13:11:00,35.97
2017-11-12 14:11:00,34.68
2017-11-12 14:11:00,33.91
2017-11-12 15:11:00,33.67
2017-11-12 15:11:00,32.94
2017-11-12 15:11:00,32.89
2017-11-12 15:11:00,32.86
2017-11-12 16:11:00,33.61
2017-11-12 16:11:00,33.56
2017-11-12 16:11:00,33.69
2017-11-12 16:11:00,33.92
2017-11-12 16:11:00,35.08
2017-11-12 16:11:00,35.56
2017-11-12 17:11:00,35.96
2017-11-12 17:11:00,37.35
2017-11-12 17:11:00,37.48
2017-11-12 17:11:00,38.27
2017-11-12 17:11:00,39.48
2017-11-12 18:11:00,40.37
2017-11-12 18:11:00,42.91
2017-11-12 18:11:00,43.4
2017-11-12 19:11:00,45.04
2017-11-12 19:11:00,45.59
2017-11-12 20:11:00,48.58
2017-11-12 20:11:00,49.07
2017-11-12 20:11:00,49.33
2017-11-12 20:11:00,49.49
2017-11-12 20:11:00,50.51
2017-11-12 20:11:00,50.74
2017-11-12 21:11:00,50.85
2017-11-12 21:11:00,51.34
2017-11-12 21:11:00,50.57
2017-11-12 22:11:00,50.97
2017-11-12 22:11:00,51.07
2017-11-12 22:11:00,50.27
2017-11-12 22:11:00,50.59
2017-11-12 23:11:00,49.12
2017-11-12 23:11:00,48.7
2017-11-12 23:11:00,47.94
2017-11-12 23:11:00,47.45
2017-11-12 23:11:00,46.43
2017-11-12 23:11:00,45.26
2017-11-13 00:11:00,44.67
2017-11-13 00:11:00,44.04
2017-11-13 00:11:00,43.47
2017-11-13 00:11:00,42.24
2017-11-13 00:11:00,41.64
2017-11-13 01:11:00,41.15
2017-11-13 01:11:00,39.99
2017-11-13 01:11:00,39.24
2017-11-13 01:11:00,38.23
2017-11-13 01:11:00,37.44
2017-11-13 01:11:00,37.09
2017-11-13 02:11:00,35.57
2017-11-13 02:11:00,35.07
2017-11-13 02:11:00,34.32
2017-11-13 03:11:00,33.81
2017-11-13 03:11:00,32.67
2017-11-13 03:11:00,32.56
2017-11-13 03:11:00,32.8
2017-11-13 03:11:00,31.92
2017-11-13 04:11:00,32.07
2017-11-13 04:11:00,32.05
2017-11-13 04:11:00,31.68
2017-11-13 04:11:00,32.55
2017-11-13 04:11:00,32.82
2017-11-13 04:11:00,32.81
2017-11-13 05:11:00,33.82
2017-11-13 05:11:00,34.15
2017-11-13 05:11:00,34.58
2017-11-13 05:11:00,36.22
2017-11-13 05:11:00,36.82
2017-11-13 06:11:00,37.48
2017-11-13 06:11:00,39.05
2017-11-13 06:11:00,40.61
2017-11-13 06:11:00,41.67
2017-11-13 06:11:00,41.51
2017-11-13 07:11:00,43.03
2017-11-13 07:11:00,43.69
2017-11-13 07:11:00,44.66
2017-11-13 07:11:00,45.74
2017-11-13 08:11:00,47.67
2017-11-13 08:11:00,48.7
2017-11-13 08:11:00,48.83
2017-11-13 08:11:00,49.36
2017-11-13 08:11:00,49.78
2017-11-13 09:11:00,50.67
2017-11-13 09:11:00,50.83
2017-11-13 09:11:00,51.04
2017-11-13 09:11:00,51.45
2017-11-13 09:11:00,51.53
2017-11-13 10:11:00,52.04
